id,home_team,away_team,home_goals,away_goals,home_xg,away_xg,spectators
1006,Sport,JYP,3,3,,,4500
1007,Lukko,Ässät,2,0,1.8,0.77,4500
1008,JYP,TPS,1,3,,,4500
1009,Ässät,SaiPa,0,2,1.23,0.83,4500
1010,TPS,Sport,0,0,0.53,0.72,4500
1011,SaiPa,Lukko,1,0,1.18,0.54,4500
1012,Ässät,JYP,1,1,2.67,0.34,4500
1013,SaiPa,Sport,1,0,0.95,0.72,4500
1014,TPS,Lukko,1,0,1.67,1.23,4500
1015,SaiPa,TPS,4,2,1.83,2.06,4500
1052,Tappara,K-Espoo,2,4,,,1000
1083,HIFK,HPK,3,0,,,904
1095,Jukurit,Pelicans,1,5,,,1031
1713,RoKi,Kärpät,2,6,,,927
1053,K-Espoo,HIFK,3,5,,,2702
1020,JYP,Sport,5,0,,,750
1061,KooKoo,Jukurit,0,4,,,163
1040,Kärpät,KalPa,2,3,1.73,3.41,2531
7095,KeuPa HT,JYP,3,4,,,523
1054,SaiPa,K-Espoo,2,7,,,546
1055,KooKoo,SaiPa,3,2,,,248
1077,Ässät,HPK,4,3,4.07,1.52,380
1072,"HC Davos, SUI",HIFK,5,2,2.95,1.64,1200
1078,TPS,Lukko,1,3,1.64,1.81,1442
1060,Jukurit,K-Espoo,1,4,,,110
1073,Tappara,Ilves,1,2,2.78,1.82,4284
1074,HIFK,Tappara,4,9,2.59,3.24,2432
1079,Lukko,Ässät,5,1,2.93,1.21,500
1075,Ilves,"HC Davos, SUI",1,3,2.06,2.62,2605
1080,TPS,HPK,7,1,3.49,1.53,713
1041,KalPa,JYP,1,4,3.01,0.81,1960
1049,KooKoo,HPK,3,5,2.9,2.23,935
1096,Pelicans,Jukurit,2,5,2.18,1.63,1060
1081,TPS,"Stavanger Oilers, NOR",7,3,,,937
1022,"Timrå IK, SWE",Sport,5,4,,,2729
1714,Luleå HF,Kärpät,4,2,,,2054
1715,Kärpät,Luleå HF,3,2,,,1031
1042,Ilves,KalPa,5,4,2.55,2.39,2241
1046,Ässät,Lukko,3,5,1.18,2.47,1139
1062,Ketterä,SaiPa,2,6,,,632
1023,"Timrå IK, SWE",Sport,5,0,,,0
1082,TPS,"Stavanger Oilers, NOR",7,2,,,912
1087,"Geneve Servette HC, SUI",Lukko,5,2,,,0
1024,Sport,Ässät,1,5,2.19,1.42,1241
1043,JYP,KalPa,2,3,,,753
1084,HPK,Pelicans,1,3,1.17,2.31,1534
1063,Jukurit,SaiPa,2,3,,,989
1085,Pelicans,HPK,3,2,2.07,1.36,681
1047,Ässät,TPS,5,2,1.62,2.05,671
1050,KooKoo,Tappara,4,3,1.8,4.02,959
1056,K-Espoo,"Tingsryds AIF, SWE",4,3,,,1544
1086,Sport,JYP,1,2,,,410
1716,"HC Motor Ceske Budejovice, CZE",Kärpät,0,4,,,0
1093,"EHC Kloten, SUI",HIFK,1,4,,,0
1088,"Lausanne HC, SUI",Lukko,2,5,,,1083
1057,Jukurit,K-Espoo,1,3,,,423
1044,KooKoo,KalPa,1,5,0.96,2.67,810
1059,TPS,Ilves,1,2,1.7,0.67,1173
1717,"Eisbären Berlin, GER",Kärpät,4,2,,,520
1094,"HC Ambri-Piotta, SUI",HIFK,3,2,,,1224
1089,Lukko,"HC Banska Bystrica, SVK",1,5,,,192
1025,Sport,Lukko,1,0,2.21,1.42,1149
1048,Ässät,HPK,4,5,3.46,1.6,720
1058,TPS,K-Espoo,2,4,2.86,1.79,1031
1718,JYP,Kärpät,2,9,1.51,4.48,2333
1045,KalPa,Jukurit,6,2,2.34,1.85,1808
1026,Ässät,Sport,3,1,2.56,1.6,717
1051,HPK,KooKoo,3,2,1.35,3.15,870
1064,SaiPa,JYP,2,2,0.77,1.09,0
1,HIFK,K-Espoo,5,2,2.6,2.6,8200
2,Jukurit,HPK,7,3,5.34,1.62,2056
3,JYP,Pelicans,3,4,3.71,3.34,2797
4,KalPa,SaiPa,3,2,3.02,2.01,3967
5,Lukko,KooKoo,3,4,3.76,2.2,3624
6,Sport,Kärpät,2,3,3.02,3.57,3497
7,Tappara,TPS,2,3,2.13,2.78,9331
8,HPK,Sport,3,2,1.96,3.41,2866
9,JYP,KalPa,3,2,2.0,4.04,2913
10,KooKoo,SaiPa,1,2,3.22,2.0,3965
11,Kärpät,Jukurit,3,2,3.41,2.19,4886
12,Lukko,TPS,3,2,4.21,3.74,3807
13,K-Espoo,HIFK,2,3,2.93,2.38,6982
15,SaiPa,KooKoo,2,3,2.9,4.26,4013
16,Sport,Jukurit,4,1,3.92,2.38,2752
17,TPS,K-Espoo,2,3,3.58,1.99,6035
18,Ässät,HPK,2,0,3.61,2.06,5039
19,Tappara,SaiPa,3,0,3.45,1.83,4247
20,HIFK,HPK,6,2,3.81,2.34,6762
21,Ilves,TPS,4,2,1.89,2.18,5571
22,Jukurit,K-Espoo,4,6,3.85,3.22,2142
23,Lukko,Sport,2,3,4.99,2.46,2832
24,Pelicans,Ässät,2,5,2.93,2.53,2234
25,KooKoo,KalPa,3,4,3.74,3.42,2636
26,HPK,Ilves,0,4,1.44,3.12,3194
27,Pelicans,Lukko,0,4,1.96,2.63,2606
28,SaiPa,K-Espoo,4,1,1.52,1.91,3015
29,TPS,Jukurit,3,2,2.78,2.68,4364
30,Ässät,Kärpät,4,5,2.07,2.24,4188
31,Tappara,HIFK,1,4,2.97,2.49,6203
32,HIFK,SaiPa,4,8,4.43,3.76,7099
33,Ilves,Pelicans,6,3,3.42,2.03,8791
34,JYP,Tappara,2,4,1.54,1.82,3579
35,K-Espoo,Jukurit,3,2,2.18,2.84,3176
36,Lukko,Kärpät,6,3,3.04,2.83,4038
37,Sport,Ässät,3,4,3.6,2.13,3532
38,KalPa,TPS,5,0,2.49,1.98,3531
39,Tappara,KalPa,3,1,1.97,2.5,4252
40,Ilves,KooKoo,5,2,2.6,2.48,4787
41,Jukurit,Ässät,4,3,4.7,2.31,2012
42,Kärpät,JYP,4,2,2.24,2.93,3902
43,Sport,Pelicans,3,1,3.55,2.24,3269
44,TPS,HPK,6,5,3.24,2.54,5068
45,HPK,K-Espoo,5,2,2.15,1.28,3388
46,KalPa,Jukurit,2,1,2.89,2.72,3360
47,KooKoo,Sport,3,2,3.17,1.93,3081
48,Lukko,HIFK,2,3,2.16,1.95,3256
49,Tappara,Kärpät,4,1,3.03,2.11,8407
50,Ässät,TPS,4,6,3.28,1.59,4636
51,Pelicans,Ilves,3,4,1.53,1.8,2619
52,HIFK,Pelicans,2,5,2.17,1.56,7074
53,Ilves,Lukko,3,2,2.34,2.54,6993
54,Jukurit,KooKoo,2,5,1.56,3.98,2427
55,JYP,HPK,2,1,2.15,2.55,2855
56,K-Espoo,KalPa,1,2,2.36,2.62,3667
57,Kärpät,Tappara,5,8,2.54,2.75,5645
58,SaiPa,Sport,2,3,3.73,2.57,3850
